,TOTAL_SHARES,FREE_FLOAT_SHARES,EPS_TTM,BPS,WEST_EPS_2017,WEST_EPS_2018,WEST_EPS_2019
300197.SZ,1519653615.0,798432764.0,0.343751664191,3.3648,0.557799994946,0.789099991322,1.08459997177
300198.SZ,1031548540.0,528214480.0,0.0231671542766,1.5253,0.270500004292,0.3450999856,0.480800002813
300199.SZ,918342540.0,446004990.0,0.339492108827,4.0081,0.474400013685,0.65750002861,0.817600011826
300200.SZ,213600000.0,113566256.0,0.207409924017,3.6867,0.491299986839,0.365799993277,0.329800009727
300201.SZ,1028562810.0,498279367.0,0.0958642427,1.3187,0.145300000906,0.177300006151,0.190400004387
300202.SZ,549504000.0,236790668.0,0.575587790808,3.4004,0.793699979782,1.02559995651,1.23539996147
300203.SZ,452800250.0,279440950.0,0.899111739249,6.0807,1.22510004044,1.5612000227,2.00519990921
300204.SZ,478572846.0,169611652.0,0.565037216215,4.1244,0.619000017643,0.711899995804,0.812099993229
300205.SZ,430056000.0,216395074.0,0.0441330089337,2.5898,,,
300206.SZ,585000000.0,259913295.0,0.0783002080855,2.1,0.126200005412,0.195899993181,0.283800005913
300207.SZ,1291912500.0,624872233.0,0.371042296556,1.8094,0.476099997759,0.657899975777,0.894100010395
300208.SZ,766525000.0,330995444.0,0.373402727791,2.2513,,0.900200009346,
300209.SZ,292122316.0,106964392.0,0.342934337786,6.8694,,,
300210.SZ,269011085.0,86223328.0,0.27997998681,4.7122,0.892199993134,1.22669994831,
300211.SZ,302675973.0,144288250.0,0.00686809160765,1.6585,,,
300212.SZ,369786157.0,186327840.0,0.398078569312,6.967,0.630400002003,0.82080000639,1.04250001907
300213.SZ,574665018.0,226559930.0,0.180844683067,5.6374,0.267199993134,0.312900006771,0.350199997425
300214.SZ,405000000.0,262909709.0,0.179793006519,3.3788,0.180800005794,0.29240000248,0.364699989557
300215.SZ,758322487.0,280101587.0,0.0990024774644,2.5116,0.207000002265,0.28749999404,0.429899990559
